Country_Name,Weighted_mean_tariff
Afghanistan,5.6
Albania,1
Algeria,10
American Samoa,..
Andorra,..
Angola,6.5
Antigua and Barbuda,13.1
Argentina,7.3
Armenia,4.1
Aruba,12.1
Australia,0.8
Austria,1.8
Azerbaijan,12
Bahamas The,17.1
Bahrain,3.5
Bangladesh,8.6
Barbados,14.2
Belarus,2.8
Belgium,1.8
Belize,11.2
Benin,9.9
Bermuda,103.2
Bhutan,4.1
Bolivia,4.7
Bosnia and Herzegovina,17.9
Botswana,1
Brazil,8
Brunei Darussalam,0
Bulgaria,1.8
Burkina Faso,5.8
Burundi,8.5
Cabo Verde,11.6
Cambodia,9.8
Cameroon,15.5
Canada,1.5
Cayman Islands,16.7
Central African Republic,16.4
Chad,16.4
Channel Islands,..
Chile,0.4
China,2.5
Hong Kong SAR China,0
Macao SAR China,0
Colombia,2.9
Comoros,4.2
Congo Dem. Rep.,10.8
Congo Rep.,11.6
Costa Rica,1.6
Cote d'Ivoire,7.7
Croatia,1.8
Cuba,8.5
Curacao,..
Czech Republic,1.8
Denmark,1.8
Djibouti,17.6
Dominica,8.3
Dominican Republic,4.2
Ecuador,8.1
Egypt Arab Rep.,10.4
El Salvador,2
Equatorial Guinea,15.6
Eritrea,5.4
Estonia,1.8
Ethiopia,12.1
Faroe Islands,..
Fiji,24
Finland,1.8
France,1.8
French Polynesia,4.6
Gabon,14.5
Gambia The,18.1
Georgia,0.7
Germany,1.8
Ghana,10
Greece,1.8
Greenland,..
Grenada,10.8
Guam,..
Guatemala,1.4
Guinea,10.9
Guinea-Bissau,11.3
Guyana,9.6
Haiti,6.5
Honduras,3.4
Hungary,1.8
Iceland,1.5
India,6.6
Indonesia,2
Iran Islamic Rep.,15.4
Iraq,..
Ireland,1.8
Isle of Man,..
Israel,1.9
Italy,1.8
Jamaica,10.8
Japan,3.5
Jordan,4.4
Kazakhstan,2.3
Kenya,11.5
Kiribati,..
Korea Dem. People’s Rep.,..
Korea Rep.,4.8
Kosovo,..
Kuwait,4.5
Kyrgyz Republic,3.1
Lao PDR,0.8
Latvia,1.8
Lebanon,3.3
Lesotho,3.4
Liberia,9.5
Libya,0
Liechtenstein,..
Lithuania,1.8
Luxembourg,1.8
North Macedonia,1.9
Madagascar,7.5
Malawi,4.2
Malaysia,4
Maldives,18.4
Mali,7.2
Malta,1.8
Marshall Islands,..
Mauritania,8
Mauritius,1.1
Mexico,1.2
Micronesia Fed. Sts.,..
Moldova,3.5
Monaco,..
Mongolia,5.3
Montenegro,1
Morocco,3.6
Mozambique,4.2
Myanmar,1.8
Namibia,1.1
Nepal,14.2
Netherlands,1.8
New Caledonia,..
New Zealand,0.9
Nicaragua,1.9
Niger,9.3
Nigeria,8.5
Northern Mariana Islands,..
Norway,2.6
Oman,1.7
Pakistan,8.7
Palau,118.2
Panama,5.4
Papua New Guinea,7.8
Paraguay,5
Peru,0.7
Philippines,1.7
Poland,1.8
Portugal,1.8
Puerto Rico,..
Qatar,3.5
Romania,1.8
Russian Federation,5.3
Rwanda,9.6
Samoa,10.9
San Marino,..
Sao Tome and Principe,10
Saudi Arabia,4.9
Senegal,9.1
Serbia,1.4
Seychelles,20.3
Sierra Leone,10.3
Singapore,0.4
Sint Maarten (Dutch part),..
Slovak Republic,1.8
Slovenia,1.8
Solomon Islands,17.5
Somalia,..
South Africa,5.4
South Sudan,..
Spain,1.8
Sri Lanka,13.3
St. Kitts and Nevis,21.1
St. Lucia,16.7
St. Martin (French part),..
St. Vincent and the Grenadines,8.8
Sudan,12
Suriname,8.7
Eswatini,2.4
Sweden,1.8
Switzerland,6.1
Syrian Arab Republic,14.2
Tajikistan,5
Tanzania,8.4
Thailand,3.5
Timor-Leste,2.5
Togo,11
Tonga,5.5
Trinidad and Tobago,8.6
Tunisia,9.4
Turkey,3.1
Turkmenistan,..
Turks and Caicos Islands,..
Tuvalu,2.4
Uganda,8.1
Ukraine,5.3
United Arab Emirates,3.9
United Kingdom,1.8
United States,13.8
Uruguay,5.3
Uzbekistan,8.7
Vanuatu,8.3
Venezuela RB,10.2
Vietnam,1.7
Virgin Islands (U.S.),..
West Bank and Gaza,2.2
Yemen Rep.,5
Zambia,3.4
Zimbabwe,5